"covered","p","phat","CV.phat","interval","lower.bound","upper.bound","phat.bias.percent","n","N","Nhat","Nhat.bias.percent"
TRUE,0.749073233943494,0.766316798012594,0.128082864425131,0.95,0.596797816812195,0.98398723717361,2.30198641304009,30,30,39.148300125749,30.4943337524967
TRUE,0.749073233943494,0.582058835514958,0.283236004988325,0.95,0.337685019705315,1.00327958965038,-22.2961375284082,30,30,51.5411813540438,71.8039378468127
TRUE,0.749073233943494,0.669731992875159,0.181674091442531,0.95,0.470449989270567,0.953429594027614,-10.5919204522425,30,30,44.7940374943267,49.3134583144222
TRUE,0.749073233943494,0.748078383940983,0.132790707843729,0.95,0.577309931972586,0.969360195497773,-0.132810779698322,30,30,40.1027494498047,33.6758314993489
FALSE,0.749073233943494,0.87708938637511,0.0693735157288088,0.95,0.765709218501938,1.00467092873314,17.0899381570043,30,30,34.2040394810681,14.0134649368935
TRUE,0.749073233943494,0.801658534392581,0.131117819602024,0.95,0.620664635468145,1.03543261374918,7.02004798279217,30,30,37.4224170428512,24.7413901428372
TRUE,0.749073233943494,0.762766922755843,0.126476220036369,0.95,0.595884286238226,0.976386509742291,1.82808411672353,30,30,39.3304941588334,31.1016471961113
TRUE,0.749073233943494,0.615925660224723,0.220840665290062,0.95,0.401588923567501,0.944658571638855,-17.7749741527696,30,30,48.707176754179,62.3572558472635
TRUE,0.749073233943494,0.773976350470386,0.112890337545523,0.95,0.620782294209292,0.964974994737037,3.32452361110129,30,30,38.7608742589711,29.2029141965704
FALSE,0.749073233943494,0.885489851228659,0.0738829788722486,0.95,0.766266524086198,1.02326312318552,18.211385897077,30,30,33.8795526096359,12.9318420321197
TRUE,0.749073233943494,0.80699580737211,0.0999544430644169,0.95,0.663745010674992,0.981163282046953,7.73256482863267,30,30,37.1749143253812,23.9163810846039
TRUE,0.749073233943494,0.632943993522326,0.183872238412741,0.95,0.442743447746064,0.90485381765777,-15.5030556638376,30,30,47.3975585628838,57.9918618762794
TRUE,0.749073233943494,0.696897140564342,0.168878065567203,0.95,0.50168232679537,0.968074015341691,-6.96541953641455,30,30,43.0479596683468,43.4931988944893
TRUE,0.749073233943494,0.765728027795852,0.114842339605116,0.95,0.611843848880032,0.958315448664569,2.22338659261365,30,30,39.1784013527035,30.5946711756784
TRUE,0.749073233943494,0.853349994720351,0.0775631990371891,0.95,0.733169265338556,0.99323068753156,13.9207698328629,30,30,35.1555635854093,17.1852119513644
TRUE,0.749073233943494,0.715786287595435,0.174648491860503,0.95,0.509609568044365,1.00537753142235,-4.44375060270411,30,30,41.9119512624082,39.7065042080274
FALSE,0.749073233943494,0.958652574371237,0.0311511544315317,0.95,0.901886241035181,1.01899188227305,27.978484736988,30,30,31.2939231605115,4.31307720170486
FALSE,0.749073233943494,0.913940369234775,0.0486316871955129,0.95,0.830896515542607,1.00528403103426,22.0094815594114,30,30,32.8248986584523,9.41632886150783
TRUE,0.749073233943494,0.839399113811805,0.0872066183125853,0.95,0.707747999271337,0.995539193319453,12.058351009659,30,30,35.7398518849593,19.132839616531
TRUE,0.749073233943494,0.675453003177587,0.172642968626582,0.95,0.482746191822958,0.945086190693226,-9.82817532784264,30,30,44.4146370789213,48.048790263071
TRUE,0.749073233943494,0.637023577567746,0.208061919766799,0.95,0.425525790623965,0.95364146502653,-14.9584381470771,30,30,47.094018269378,56.9800608979268
TRUE,0.749073233943494,0.595471617229142,0.201854939464584,0.95,0.402489394939265,0.880983328713535,-20.5055540305074,30,30,50.3802349801263,67.9341166004209
TRUE,0.749073233943494,0.838566277395146,0.0997860425761899,0.95,0.689937363245934,1.01921339391746,11.9471687675336,30,30,35.775347529106,19.2511584303532
TRUE,0.749073233943494,0.606954379899524,0.276546514633237,0.95,0.356518881656285,1.03330745784842,-18.9726247854013,30,30,49.4271085167327,64.7570283891091
TRUE,0.749073233943494,0.802894337543412,0.104883458537707,0.95,0.654071919879443,0.985578646119058,7.18502559710699,30,30,37.3648170091596,24.549390030532
TRUE,0.749073233943494,0.648527898474104,0.167138588284051,0.95,0.468423700870486,0.897880347039753,-13.4226309142125,30,30,46.2586113420654,54.195371140218
FALSE,0.749073233943494,0.950657519985676,0.0314249092767888,0.95,0.893885221002255,1.01103553238301,26.911158603404,30,30,31.5571058654772,5.19035288492409
TRUE,0.749073233943494,0.741433499449931,0.142903893692859,0.95,0.561107962507702,0.979710984049752,-1.01989153361464,30,30,40.4621588075761,34.8738626919203
TRUE,0.749073233943494,0.801406149331946,0.10028681368199,0.95,0.65872152515066,0.974997463518691,6.98635500736624,30,30,37.4342024016263,24.7806746720876
TRUE,0.749073233943494,0.774366143173496,0.141783621598899,0.95,0.587299904555215,1.02101655226307,3.37656027259807,30,30,38.7413631968134,29.1378773227113
TRUE,0.749073233943494,0.800004610731829,0.101141301455458,0.95,0.656477455694838,0.974911433195797,6.7992519930536,30,30,37.4997838731912,24.9992795773039
TRUE,0.749073233943494,0.501585523999135,0.367521653575541,0.95,0.249669098061045,1.00768593245758,-33.0391874558727,30,30,59.8103385456789,99.3677951522629
TRUE,0.749073233943494,0.817209241091115,0.0944377188458415,0.95,0.679400880843887,0.982970382515842,9.09604082219282,30,30,36.7103044012875,22.3676813376251
TRUE,0.749073233943494,0.579277100700322,0.251730138989789,0.95,0.356365806520173,0.941622213063744,-22.6674943849323,30,30,51.7886862155111,72.6289540517035
TRUE,0.749073233943494,0.59756059179464,0.196179172237116,0.95,0.408289273328714,0.874572721332496,-20.2266794864925,30,30,50.2041138788984,67.3470462629946
FALSE,0.749073233943494,0.875428063813642,0.0680487758884891,0.95,0.766238782092899,1.00017685455601,16.868154426631,30,30,34.2689493746756,14.2298312489187
TRUE,0.749073233943494,0.868925759271763,0.0800111548797861,0.95,0.742994632866708,1.01620111603345,16.0001078529139,30,30,34.5253891715014,15.0846305716715
TRUE,0.749073233943494,0.670700866467974,0.159281039151189,0.95,0.491809501373312,0.914662386604516,-10.4625774789642,30,30,44.7293294221986,49.0977647406619
TRUE,0.749073233943494,0.820045374243377,0.0912571054884211,0.95,0.685994591932092,0.98029113308889,9.47465976407276,30,30,36.5833415348264,21.9444717827546
FALSE,0.749073233943494,0.885236112737948,0.0624749860447933,0.95,0.783307165432463,1.00042870776338,18.1775122410427,30,30,33.8892636307086,12.964212102362
TRUE,0.749073233943494,0.792899490108135,0.129359318900917,0.95,0.615976015145403,1.02063974238565,5.8507304998628,30,30,37.8358169910144,26.1193899700479
TRUE,0.749073233943494,0.752683387553334,0.128427545939405,0.95,0.585789232047607,0.967126486634907,0.481949353714595,30,30,39.8573962121281,32.8579873737603
TRUE,0.749073233943494,0.842600953906976,0.0823402447402203,0.95,0.71721962865174,0.989900916208316,12.4857912051008,30,30,35.6040422941558,18.6801409805194
TRUE,0.749073233943494,0.698632388200126,0.172621419846472,0.95,0.499333125698293,0.977478137785563,-6.73376693461897,30,30,42.9410381005788,43.136793668596
FALSE,0.749073233943494,0.89486084313191,0.0588262228725565,0.95,0.797490965606889,1.00411912247979,19.4623973441043,30,30,33.5247655881371,11.7492186271237
TRUE,0.749073233943494,0.743750745621118,0.127140614521157,0.95,0.580281446299845,0.953270477867622,-0.710543119309792,30,30,40.3360940162104,34.4536467207014
FALSE,0.749073233943494,0.88354071218241,0.0681066522014632,0.95,0.773252150782707,1.00955967506021,17.9511791565442,30,30,33.9542927522805,13.1809758409351
TRUE,0.749073233943494,0.78943511490393,0.108322362355597,0.95,0.638823740717026,0.97555516634977,5.38824231483355,30,30,38.0018565599921,26.6728551999736
FALSE,0.749073233943494,0.876825093454924,0.0664904143644673,0.95,0.769801283252756,0.998728192896247,17.0546555026243,30,30,34.2143492743713,14.0478309145708
TRUE,0.749073233943494,0.743676813036096,0.178106460218175,0.95,0.525971019245299,1.05149367933064,-0.720412993398389,30,30,40.3401040265375,34.4670134217917
TRUE,0.749073233943494,0.761921656603583,0.144096220196232,0.95,0.575287614089412,1.00910326692923,1.715242526081,30,30,39.3741269066047,31.2470896886824
TRUE,0.749073233943494,0.830652095296049,0.097735593632881,0.95,0.686157989666406,1.00557439221129,10.8906389463528,30,30,36.1162033658723,20.3873445529075
TRUE,0.749073233943494,0.818224042495385,0.0955310919289209,0.95,0.678798132686315,0.986288193027298,9.23151508002049,30,30,36.664774489524,22.21591496508
TRUE,0.749073233943494,0.537133810961046,0.441063939625775,0.95,0.235073333447997,1.2273307509861,-28.2935517354816,30,30,55.8520044499221,86.1733481664071
TRUE,0.749073233943494,0.79075930620664,0.107210270124636,0.95,0.641279524864335,0.975082247456273,5.56501959677418,30,30,37.9382193349242,26.460731116414
FALSE,0.749073233943494,0.913933312747911,0.0504440015106753,0.95,0.827949356736854,1.00884684957349,22.0085395304423,30,30,32.8251520997735,9.41717366591155
