"covered","p","phat","CV.phat","interval","lower.bound","upper.bound","phat.bias.percent","n","N","Nhat","Nhat.bias.percent"
TRUE,0.749073233943494,0.830272970224873,0.0876000104029638,0.95,0.699516709451095,0.985470676786209,10.8400263955371,30,30,36.1326950001452,20.4423166671508
FALSE,0.749073233943494,0.887264594772338,0.06338321659852,0.95,0.783709893849046,1.0045023896153,18.4483111352592,30,30,33.81178531946,12.7059510648668
TRUE,0.749073233943494,0.66846909811487,0.205073466907156,0.95,0.449073158731677,0.995051533243614,-10.7605147502446,30,30,44.8786639271764,49.5955464239215
TRUE,0.749073233943494,0.663224312988328,0.168897731463116,0.95,0.477423912449999,0.921333175545343,-11.460684625349,30,30,45.2335648927393,50.7785496424645
TRUE,0.749073233943494,0.764030417777477,0.11965281359366,0.95,0.604816633071164,0.965156127279558,1.99675854859218,30,30,39.2654523981759,30.8848413272531
TRUE,0.749073233943494,0.762238018702027,0.158404104448229,0.95,0.559875278033892,1.03774326166911,1.75747632701095,30,30,39.3577849227271,31.1926164090903
TRUE,0.749073233943494,0.709366981345717,0.145272520109205,0.95,0.534391862157419,0.941633939169725,-5.30071704588132,30,30,42.291226951511,40.9707565050367
TRUE,0.749073233943494,0.68646158708217,0.187746486446744,0.95,0.476637437074044,0.988654003831779,-8.35854813977341,30,30,43.7023725209681,45.6745750698938
TRUE,0.749073233943494,0.855479693750142,0.0816291086264451,0.95,0.729192532645502,1.00363823497165,14.2050810234496,30,30,35.068044535914,16.8934817863799
TRUE,0.749073233943494,0.642597765075946,0.361493712707999,0.95,0.323320479850847,1.27715970194988,-14.2142936154598,30,30,46.685503172353,55.6183439078432
TRUE,0.749073233943494,0.756574034341432,0.143600145969116,0.95,0.571797120651698,1.00106182554274,1.00134406864996,30,30,39.6524314056242,32.1747713520807
TRUE,0.749073233943494,0.613478480408574,0.217780232810161,0.95,0.402316400662053,0.935472293212709,-18.1016684872161,30,30,48.9014708063111,63.0049026877037
TRUE,0.749073233943494,0.792067000356745,0.104380266470856,0.95,0.645883016444317,0.971337095234208,5.73959453695998,30,30,37.8755837403756,26.251945801252
TRUE,0.749073233943494,0.859088293496319,0.0922083339660953,0.95,0.717325045127882,1.02886787661351,14.6868229390136,30,30,34.9207412405842,16.4024708019473
TRUE,0.749073233943494,0.742611790214192,0.161333625264487,0.95,0.542394947202344,1.01673563481667,-0.862591724882011,30,30,40.3979581193386,34.6598603977954
FALSE,0.749073233943494,0.875586549953604,0.0674221033088445,0.95,0.767316156893417,0.999134189437049,16.8893120561899,30,30,34.2627465001486,14.2091550004952
TRUE,0.749073233943494,0.842716601995915,0.0966615386259584,0.95,0.6975804866281,1.01804922140569,12.501230027862,30,30,35.599156263146,18.6638542104866
FALSE,0.749073233943494,0.869786944404744,0.0700266577296384,0.95,0.758366195573512,0.997577862875095,16.1150746003501,30,30,34.4912052232873,14.9706840776244
TRUE,0.749073233943494,0.570919640923276,0.238008634113465,0.95,0.360384399483958,0.904448796503667,-23.7832010205904,30,30,52.5467996712897,75.1559989042989
TRUE,0.749073233943494,0.715954770774488,0.139870246409566,0.95,0.545009445931429,0.940518072890873,-4.42125838546575,30,30,41.9020882667593,39.6736275558642
TRUE,0.749073233943494,0.815567442914381,0.101586352788931,0.95,0.668669125697411,0.994737499279874,8.87686356390394,30,30,36.7842049859136,22.614016619712
TRUE,0.749073233943494,0.829601094610875,0.101241010981833,0.95,0.680632081681632,1.01117475167955,10.7503321462231,30,30,36.1619580722366,20.5398602407885
TRUE,0.749073233943494,0.652758098067007,0.177946585106495,0.95,0.461809416227622,0.92266012692569,-12.8579064785744,30,30,45.9588323589368,53.1961078631226
TRUE,0.749073233943494,0.757483831298158,0.122092772779473,0.95,0.596804390883721,0.96142348052853,1.12280041170154,30,30,39.6048057535257,32.0160191784191
TRUE,0.749073233943494,0.844170904895766,0.0823790925750414,0.95,0.718501534235915,0.991820452311728,12.6953769862567,30,30,35.5378275015345,18.459425005115
TRUE,0.749073233943494,0.664633892964126,0.220818075204805,0.95,0.433365632769678,1.01931989588898,-11.2725081010889,30,30,45.1376318866412,50.4587729554707
TRUE,0.749073233943494,0.791058772513936,0.108728393488242,0.95,0.639632856978108,0.978333077709098,5.60499783838346,30,30,37.9238572940185,26.4128576467285
TRUE,0.749073233943494,0.580580245418954,0.210395900039941,0.95,0.386107911250785,0.873003146397063,-22.493526786094,30,30,51.6724436229338,72.2414787431128
TRUE,0.749073233943494,0.812007169377749,0.103723209397052,0.95,0.662989421992417,0.994519099775932,8.40157311494614,30,30,36.9454866057271,23.1516220190904
TRUE,0.749073233943494,0.788996878594983,0.138218037173248,0.95,0.602531903435411,1.03316699229248,5.32973851452558,30,30,38.0229641128909,26.7432137096364
TRUE,0.749073233943494,0.780773157665288,0.118143888452288,0.95,0.619881826494597,0.983424094198602,4.23188578704234,30,30,38.4234520685979,28.0781735619929
TRUE,0.749073233943494,0.65032517008822,0.185297496477573,0.95,0.453664000982538,0.93223801301032,-13.1826982170241,30,30,46.1307686982657,53.769228994219
TRUE,0.749073233943494,0.867931156357353,0.100406514447524,0.95,0.713236132449711,1.05617825275969,15.867330059056,30,30,34.5649534300715,15.2165114335716
TRUE,0.749073233943494,0.739154807549598,0.128508637692375,0.95,0.575170066169474,0.949892669419102,-1.3240930184731,30,30,40.5868969444361,35.2896564814535
TRUE,0.749073233943494,0.857356352833127,0.0792241132418343,0.95,0.734228332160168,1.00113259533408,14.4556118124226,30,30,34.9912844301734,16.6376147672445
